codeSp	GrSIH	codeSIH	ISSCAAP	TAXOCODE	codeFAO	codeFB	phylum	categ_bent	classe	ordre	Famille	Genre	espece	identifiant	taille_max	L50	cryptique	mobilite	territorialite	nocturne	comp_gr	agreg_saison	posi_col_eau	strat_demo	ponte	habitat_pref	chgmt_sexe	Trophique_2015	statutIUCN	coeffA	coeffB	niveau_taxo_ab
Leptpurp	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Faviidae	Leptastrea	purpurea	Leptastrea_purpurea	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Leptscab	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Agariciidae	Leptoseris	scabra	Leptoseris_scabra	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Leptsoli	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Agariciidae	Leptoseris	solida	Leptoseris_solida	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Leptsp.	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Agariciidae	Leptoseris	sp.	Leptoseris_sp.	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lepttran	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Faviidae	Leptastrea	transversa	Leptastrea_transversa	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Leptvaig	PO	-999	33	1706517102	LOV	4360	chordata	NA	Actinopterygii	Perciformes	Scaridae	Leptoscarus	vaigiensis	Leptoscarus_vaigiensis	35	-999	N	TM	NA	DI	NA	NA	B	3	NA	H	NA	HE	NA	0,016285639	2,990520051	sp
Leptyabe	PA	-999	-999	NA	NA	-999	cnidaria	CF	Anthozoa	Scleractinia	Agariciidae	Leptoseris	yabei	Leptoseris_yabei	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lethatki	PO	-999	33	1703817212	LTT	1854	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	atkinsoni	Lethrinus_atkinsoni	50	-999	N	MO	NA	DN	NA	NA	B	5	NA	NA	NA	CA	NA	0,017798634	3,057374693	sp
Lethborb	PO	-999	33	1703817226	LBW	1844	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	borbonicus	Lethrinus_borbonicus	40	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lethconc	PO	-999	-999	NA	NA	1868	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	conchyliatus	Lethrinus_conchyliatus	76	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	CA	NA	0,0165	3,043	NA
Letheryt	PO	-999	33	1703817222	LXE	1862	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	erythracanthus	Lethrinus_erythracanthus	70	-999	N	TM	NA	DI	NA	NA	B	5	NA	CO	NA	CA	NA	0,016499811	3,043426655	ge
Lethgeni	PO	-999	-999	NA	NA	1865	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	genivittatus	Lethrinus_genivittatus	25	-999	N	TM	NA	DN	NA	NA	B	2	NA	NA	NA	CA	NA	0,017922873	2,995464866	sp
Lethgesp.	PO	-999	-999	NA	NA	-999	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	ge.	sp.	Lethrinidae	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lethhara	PO	-999	33	1703817206	LTK	1851	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	harak	Lethrinus_harak	50	-999	N	MO	NA	DI	NA	NA	B	3	NA	CO	NA	CA	NA	0,017005573	3,042260034	sp
Lethlent	PO	-999	33	1703817215	LTS	1863	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	lentjan	Lethrinus_lentjan	52	-999	N	MO	NA	DN	NA	NA	B	3	NA	CO	NA	CA	NA	0,019696789	2,986179959	sp
Lethmahs	PO	-999	33	1703817207	LTQ	1843	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	mahsena	Lethrinus_mahsena	65	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	CA	NA	0,0165	3,043	NA
Lethmicr	PO	-999	33	1703817216	LEN	1845	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	microdon	Lethrinus_microdon	80	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	CA	NA	0,0165	3,043	NA
Lethmini	PO	-999	33	1703817217	LHI	1858	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	miniatus	Lethrinus_miniatus	90	-999	N	TM	NA	DN	NA	NA	B	5	NA	NA	NA	CA	NA	0,006569768	3,276711754	sp
Lethnebu	PO	-999	33	1703817202	LHN	1846	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	nebulosus	Lethrinus_nebulosus	87	-999	N	TM	NA	DN	NA	NA	B	5	NA	CO	NA	CA	NA	0,018713693	2,996164909	sp
Lethobso	PO	-999	33	1703817223	LWO	1847	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	obsoletus	Lethrinus_obsoletus	60	-999	N	MO	NA	DN	NA	NA	B	3	NA	CO	NA	CA	NA	0,017329694	3,025828472	sp
Letholiv	PO	-999	33	1703817218	LHO	1864	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	olivaceus	Lethrinus_olivaceus	100	-999	N	TM	NA	DN	NA	NA	B	6	NA	CO	NA	CA	NA	0,029360671	2,850635264	sp
Lethrubr	PO	-999	33	1703817220	LHB	1848	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	rubrioperculatus	Lethrinus_rubrioperculatus	50	-999	N	MO	NA	DN	NA	NA	B	3	NA	CO	NA	CA	NA	0,012792181	3,108070727	sp
Lethsp.	PO	-999	-999	NA	NA	200549	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	sp.	Lethrinus_sp.	-999	-999	NA	TM	NA	NO	NA	NA	NA	3	NA	NA	NA	CA	NA	0,01408719	3,064758344	sp
Lethvari	PO	-999	33	1703817211	LHV	1850	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	variegatus	Lethrinus_variegatus	20	-999	N	TM	NA	DN	NA	NA	B	2	NA	CO	NA	CA	NA	0,01181499	3,116779494	sp
Lethxant	PO	-999	33	1703817225	LXN	1852	chordata	NA	Actinopterygii	Perciformes	Lethrinidae	Lethrinus	xanthochilus	Lethrinus_xanthochilus	70	-999	N	TM	NA	DI	NA	NA	B	5	NA	CO	NA	CA	NA	0,020065193	2,96390263	sp
Leucnass	MO	-999	52	3071400601	LZN	-999	mollusca	NA	Gastropoda	Hypsogastropoda	Fasciolariidae	Leucozonia	nassa	Leucozonia_nassa	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Liagpinn	VE	-999	-999	NA	NA	-999	plantae	NA	Florideophyceae	Nemaliales	Helminthocladiaceae	Liagora	pinnata	Liagora_pinnata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Liagsp.	VE	-999	-999	NA	NA	-999	plantae	NA	Florideophyceae	Nemaliales	Helminthocladiaceae	Liagora	sp.	Liagora_sp.	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lichamia	PO	-999	37	1702307202	LEE	692	chordata	NA	Actinopterygii	Perciformes	Carangidae	Lichia	amia	Lichia_amia	200	-999	NA	NA	NA	NA	NA	NA	D	-999	NA	CO	NA	PI	NA	0,0083	3,197	NA
Limapell	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	Pterioida	Ostreidae	Limaria	pellucida	Limaria_pellucida	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Limascab	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	Pterioida	Ostreidae	Lima	scabra	Lima_scabra	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Limndona	PO	-999	33	1721100301	IMD	17457	chordata	NA	Actinopterygii	Perciformes	Creediidae	Limnichthys	donaldsoni	Limnichthys_donaldsoni	45	-999	N	SE	NA	DI	NA	NA	B	1	NA	NA	NA	CA	NA	-999	-999	NA
Limnniti	PO	-999	-999	NA	NA	16931	chordata	NA	Actinopterygii	Perciformes	Creediidae	Limnichthys	nitidus	Limnichthys_nitidus	4	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Limnsp.	PO	-999	-999	NA	NA	-999	chordata	NA	Actinopterygii	Perciformes	Creediidae	Limnichthys	sp.	Limnichthys_sp.	-999	-999	N	SE	NA	DI	NA	NA	B	1	NA	NA	NA	CA	NA	-999	-999	NA
Lincguil	EC	-999	-999	NA	NA	-999	echinodermata	NA	Asteroidea	Valvatida	Ophidiastaeridae	Linckia	guildingi	Linckia_guildingii	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Hypoocto	PO	-999	NA	NA	NA	NA	chordata	NA	Actinopterygii	Perciformes	Serranidae	Hyporthodus	octofasciatus	Hyporthodus_octofasciatus	130	-999	NA	NA	NA	DI	NA	NA	B	-999	NA	NA	NA	PI	LC	-999	-999	NA
Lioplunu	PO	-999	-999	NA	NA	12862	chordata	NA	Actinopterygii	Perciformes	Serranidae	Liopropoma	lunulatum	Liopropoma_lunulatum	19	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lioprubr	PO	-999	-999	NA	NA	3332	chordata	NA	Actinopterygii	Perciformes	Serranidae	Liopropoma	rubre	Liopropoma_rubre	100	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Liopsp.	PO	-999	-999	NA	NA	-999	chordata	NA	Actinopterygii	Perciformes	Serranidae	Liopropoma	sp.	Liopropoma_sp.	-999	-999	O	SE	NA	NO	NA	NA	B	2	NA	NA	NA	CA	NA	0,013415232	3,030514248	fa
Liopsusu	PO	-999	-999	NA	NA	7318	chordata	NA	Actinopterygii	Perciformes	Serranidae	Liopropoma	susumi	Liopropoma_susumi	9	-999	O	SE	NA	NO	NA	NA	B	2	NA	NA	NA	CA	NA	0,013415232	3,030514248	fa
Lithcael	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	Archaeogastropoda	Turbinidae	Lithopoma	caelatum	Lithopoma_caelatum	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lithedwa	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Fungiidae	Lithophyllon	edwardsi	Lithophyllon_edwardsi	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lithlevi	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Fungiidae	Lithophyllon	levistei	Lithophyllon_levistei	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lithloba	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Fungiidae	Lithophyllon	lobata	Lithophyllon_lobata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lithtect	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	Archaeogastropoda	Turbinidae	Lithopoma	tectum	Lithopoma_tectum	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lithtube	MO	-999	52	3070500503	IPU	-999	mollusca	NA	Gastropoda	Archaeogastropoda	Turbinidae	Lithopoma	tuber	Lithopoma_tuber	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lithundu	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Fungiidae	Lithophyllon	undulatum	Lithophyllon_undulatum	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Littangu	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	Hypsogastropoda	Littorinidae	Littorina	angulifera	Littorina_angulifera	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Littangus	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	Hypsogastropoda	Littorinidae	Littorina	angustior	Littorina_angustior	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Livopica	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	NA	Trochidae	Livonia	pica	Livonia_pica	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lizamacr	PO	-999	33	1650101209	LZM	-999	chordata	NA	Actinopterygii	Mugiliformes	Mugilidae	Liza	macrolepis	Liza_macrolepis	60	-999	N	TM	NA	DN	NA	NA	D	2	NA	NA	NA	HE	NA	0,014396749	3,014063621	sp
Lizameli	PO	-999	-999	NA	NA	5655	chordata	NA	Actinopterygii	Mugiliformes	Mugilidae	Liza	melinoptera	Liza_melinoptera	30	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lizatric	PO	-999	33	1650101205	LZU	5513	chordata	NA	Actinopterygii	Mugiliformes	Mugilidae	Liza	tricuspidens	Liza_tricuspidens	75	-999	NA	NA	NA	NA	NA	NA	D	-999	NA	C	NA	CA	NA	0,0141	3,023	NA
Lizavaig	PO	-999	33	1650101216	LZV	5656	chordata	NA	Actinopterygii	Mugiliformes	Mugilidae	Liza	vaigiensis	Liza_vaigiensis	63	-999	N	TM	NA	DN	NA	NA	P	2	NA	HM	NA	DE	NA	0,014056981	3,022846675	ge
Lobocory	PA	-999	77	6191100101	LFO	-999	cnidaria	CM	Anthozoa	Scleractinia	Mussidae	Lobophyllia	corymbosa	Lobophyllia_corymbosa	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lobohata	PA	-999	-999	NA	NA	-999	cnidaria	CM	Anthozoa	Scleractinia	Mussidae	Lobophyllia	hataii	Lobophyllia_hataii	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lobohemp	PA	-999	77	6191100102	LHM	-999	cnidaria	CM	Anthozoa	Scleractinia	Mussidae	Lobophyllia	hemprichii	Lobophyllia_hemprichii	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lobopach	PA	-999	-999	NA	NA	-999	cnidaria	CM	Anthozoa	Scleractinia	Mussidae	Lobophyllia	pachysepta	Lobophyllia_pachysepta	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lobopsp.	PA	-999	-999	NA	NA	-999	cnidaria	SC	Anthozoa	Alcyonacea	Alcyoniidae	Lobophyton	sp.	Lobophyton_sp.	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Loborobu	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Mussidae	Lobophyllia	robusta	Lobophyllia_robusta	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lobosp.	PA	-999	-999	NA	NA	-999	cnidaria	CM	Anthozoa	Scleractinia	Mussidae	Lobophyllia	sp.	Lobophyllia_sp.	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lobosuri	PO	-999	34	1703402901	LOB	1077	chordata	NA	Actinopterygii	Perciformes	Lobotidae	Lobotes	surinamensis	Lobotes_surinamensis	110	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	HM	NA	CA	NA	-999	-999	NA
Lobovari	NA	-999	-999	NA	NA	-999	ochrophyta	NA	Phaeophyceae	Dictyotales	Dictyotaceae	Lobophora	variegata	Lobophora_variegata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lolisp.	MO	-999	-999	NA	NA	-999	mollusca	NA	Cephalopoda	Myopsida	Loliginidae	Loligo	sp.	Loligo_sp.	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lonclanc	PO	-999	33	1703702101	LNL	1183	chordata	NA	Actinopterygii	Perciformes	Sciaenidae	Lonchurus	lanceolatus	Lonchurus_lanceolatus	30	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lophlace	PO	-999	37	1520300201	LLL	3261	chordata	NA	Actinopterygii	Lampriformes	Lophotidae	Lophotus	lacepede	Lophotus_lacepede	200	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lophmuti	PO	-999	-999	NA	NA	7516	chordata	NA	Actinopterygii	Lophiiformes	Lophiidae	Lophiodes	mutilus	Lophiodes_mutilus	45	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lotigrac	PO	-999	33	1732115501	GOK	7239	chordata	NA	Actinopterygii	Perciformes	Gobiidae	Lotilia	graciliosa	Lotilia_graciliosa	-999	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	MI	NA	0,0264	2,623	fa
Lotrbiro	PA	-999	-999	NA	NA	-999	porifera	NA	Demospongiae	Poecilosclerida	Esperiopsidae	Lotrochota	birotulata	Lotrochota_birotulata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lottleuc	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	NA	Lottidae	Lottia	leucopleura	Lottia_leucopleura	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Loxomacr	PO	-999	38	1080203201	CLD	894	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Loxodon	macrorhinus	Loxodon_macrorhinus	98	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lubrorna	PO	-999	-999	NA	NA	-999	chordata	NA	Actinopterygii	Perciformes	Gobiidae	Lubricogobius	ornatus	Lubricogobius_ornatus	4	-999	NA	SE	NA	DI	NA	NA	B	1	NA	NA	NA	CA	NA	0,026387532	2,622565603	fa
Lucasuff	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	NA	Fissurellidae	Lucapina	suffusa	Lucapina_suffusa	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lucipens	MO	-999	-999	NA	NA	-999	mollusca	NA	Bivalvia	Euheterodonta_incertae_sedis	Lucinidae	Lucina	pensylvanica	Lucina_pensylvanica	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Luciradi	MO	-999	-999	NA	NA	-999	mollusca	NA	Bivalvia	Euheterodonta_incertae_sedis	Lucinidae	Lucina	radians	Lucina_radians	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Luricine	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	Hypsogastropoda	Cypraeidae	Luria	cinerea	Luria_cinerea	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lutjadet	PO	-999	33	1703202749	LDW	1395	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	adetii	Lutjanus_adetii	50	-999	N	MO	NA	NO	NA	NA	NA	3	NA	NA	NA	PI	NA	0,007067115	3,260642738	sp
Lutjanal	PO	-999	33	1703202717	LJN	1403	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	analis	Lutjanus_analis	94	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	CA	NA	0,0113	3,05	NA
Lutjapod	PO	-999	33	1703202718	LJP	1404	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	apodus	Lutjanus_apodus	67	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	CA	NA	0,0211	2,9261	NA
Lutjarge	PO	-999	33	1703202702	RES	1407	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	argentimaculatus	Lutjanus_argentimaculatus	150	-999	N	TM	NA	NO	NA	NA	B	5	NA	CO	NA	CA	NA	0,028000856	2,844262412	sp
Lutjbeng	PO	-999	-999	NA	NA	1409	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	bengalensis	Lutjanus_bengalensis	30	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lutjboha	PO	-999	33	1703202742	LJB	1417	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	bohar	Lutjanus_bohar	90	-999	N	TM	NA	DN	NA	NA	D	5	NA	CO	NA	CA	NA	0,015628466	3,058646488	sp
Lutjbucc	PO	-999	33	1703202724	LJU	1419	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	buccanella	Lutjanus_buccanella	75	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lutjcyan	PO	-999	33	1703202727	LJY	1427	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	cyanopterus	Lutjanus_cyanopterus	160	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lutjehre	PO	-999	33	1703202755	LWE	793	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	ehrenbergii	Lutjanus_ehrenbergii	35	-999	N	MO	NA	NO	NA	NA	NA	3	NA	NA	NA	CA	NA	0,015114272	3,056841977	ge
Lutjeryt	PO	-999	33	1703202704	LJT	1406	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	erythropterus	Lutjanus_erythropterus	82	-999	N	TM	NA	NO	NA	NA	B	3	NA	CO	NA	CA	NA	0,015114272	3,056841977	ge
Lutjfulv	PO	-999	33	1703202706	LJV	262	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	fulvus	Lutjanus_fulvus	40	-999	N	MO	NA	NO	NA	NA	B	3	NA	CO	NA	CA	NA	0,021061453	2,974331519	sp
Lutjfulvi	PO	-999	-999	NA	NA	261	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	fulviflamma	Lutjanus_fulviflamma	35	-999	N	MO	NA	NO	NA	NA	B	3	NA	CO	NA	CA	NA	0,020478805	2,95984964	sp
Lutjgesp.	PO	3321	33	17032XXXXX	SNX	-999	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	ge.	sp.	Lutjanidae	25	-999	NA	TM	NA	NA	NA	NA	NA	2	NA	NA	NA	PL	NA	0,016736035	3,022152377	fa
Lutjgibb	PO	-999	33	1703202745	LJG	265	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	gibbus	Lutjanus_gibbus	50	-999	N	TM	NA	NO	NA	NA	B	3	NA	CO	NA	CA	NA	0,013092867	3,137520668	sp
Lutjgris	PO	-999	33	1703202728	LJI	266	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	griseus	Lutjanus_griseus	89	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	CA	NA	0,0202	2,8928	NA
Lutjjocu	PO	-999	33	1703202730	LJJ	154	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	jocu	Lutjanus_jocu	128	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	CA	NA	0,0158	2,998	NA
Lutjkasm	PO	-999	33	1703202750	LVK	156	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	kasmira	Lutjanus_kasmira	40	-999	N	MO	NA	NO	NA	NA	B	2	NA	CO	NA	PI	NA	0,008424814	3,246964089	sp
Lutjlutj	PO	-999	33	1703202709	LJL	159	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	lutjanus	Lutjanus_lutjanus	35	-999	N	TM	NA	NO	NA	NA	D	3	NA	CO	NA	CA	NA	0,018204115	2,969094693	sp
Lutjmaho	PO	-999	33	1703202731	LJM	161	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	mahogoni	Lutjanus_mahogoni	48	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	CA	NA	0,0429	2,719	NA
Lutjmala	PO	-999	33	1703202713	MAL	162	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	malabaricus	Lutjanus_malabaricus	100	-999	N	TM	NA	NO	NA	NA	B	5	NA	CO	NA	PI	NA	0,015114272	3,056841977	ge
Lutjmono	PO	-999	33	1703202710	LJK	166	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	monostigma	Lutjanus_monostigma	60	-999	N	MO	NA	NO	NA	NA	B	3	NA	CO	NA	PI	NA	0,022184666	2,91252239	sp
Lutjnota	PO	-999	-999	NA	NA	168	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	notatus	Lutjanus_notatus	25	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	CA	NA	0,0151	3,057	NA
Lutjpurp	PO	-999	33	1703202722	SNC	171	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	purpureus	Lutjanus_purpureus	100	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Lutjquin	PO	-999	33	1703202753	LWQ	172	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	quinquelineatus	Lutjanus_quinquelineatus	38	-999	N	MO	NA	NO	NA	NA	NA	2	NA	NA	NA	CA	NA	0,014600946	3,099583416	sp
Lutjrivu	PO	-999	33	1703202711	LUV	173	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	rivulatus	Lutjanus_rivulatus	80	-999	N	MO	NA	NO	NA	NA	B	5	NA	CO	NA	CA	NA	0,008426947	3,260164377	sp
Lutjruss	PO	-999	-999	NA	NA	176	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	russellii	Lutjanus_russellii	50	-999	N	MO	NA	NO	NA	NA	B	3	NA	CO	NA	PI	NA	0,016584476	2,977892129	sp
Lutjseba	PO	-999	33	1703202714	LUB	178	chordata	NA	Actinopterygii	Perciformes	Lutjanidae	Lutjanus	sebae	Lutjanus_sebae	116	-999	N	TM	NA	NO	NA	NA	B	6	NA	CO	NA	CA	NA	0,011571347	3,151770349	sp
